time_s;signal1;signal2
0.0;0.00421940928270037;0.03937007874015741
0.01;0.00421940928270037;0.0681574803149606
0.02;0.00421940928270037;0.0969448818897638
0.03;0.00421940928270037;0.08483464566929133
0.04;0.00421940928270037;0.0632440944881889
0.05;0.00421940928270037;0.06409448818897627
0.06;0.00421940928270037;0.07848818897637781
0.07;0.01597468354430377;0.09601574803149596
0.08;0.04297046413502103;0.11760629921259838
0.09;0.06615189873417712;0.11428346456692913
0.1;0.07772151898734175;0.03511811023622044
0.11;0.09134177215189877;-0.042771653543307024
0.12;0.13762025316455706;-0.10034645669291332
0.13;0.1838987341772154;-0.1579212598425197
0.14;0.21674261603375541;-0.22176377952755913
0.15;0.24759493670886076;-0.28653543307086604
0.16;0.2810801687763714;-0.31691338582677164
0.17;0.31578902953586513;-0.3313070866141733
0.18;0.3371476793248946;-0.3385826771653544
0.19;0.3448607594936709;-0.3385826771653544
0.2;0.35611814345991555;-0.3407874015748032
0.21;0.3754008438818564;-0.34798425196850397
0.22;0.3892151898734176;-0.35433070866141736
0.23;0.3622194092827004;-0.35433070866141736
0.24;0.3352236286919833;-0.35433070866141736
0.25;0.34767932489451486;-0.34094488188976385
0.26;0.36310548523206754;-0.32655118110236225
0.27;0.37567088607594934;-0.3281732283464568
0.28;0.38724050632911383;-0.33537007874015756
0.29;0.39454008438818555;-0.3385826771653544
0.3;0.3983966244725738;-0.3385826771653544
0.31;0.4050717299578059;-0.307023622047244
0.32;0.41664135021097043;-0.22066141732283445
0.33;0.42547679324894505;-0.15853543307086626
0.34;0.4216202531645569;-0.20891338582677182
0.35000000000000003;0.41776371308016874;-0.2592913385826774
0.36;0.4177215189873418;-0.23137007874015753
0.37;0.4177215189873418;-0.20258267716535439
0.38;0.41154430379746837;-0.18532283464566934
0.39;0.403831223628692;-0.17092913385826772
0.4;0.40556962025316456;-0.16535433070866135
0.41000000000000003;0.413282700421941;-0.16535433070866135
0.42;0.3931645569620251;-0.18674015748031506
0.43;0.33531645569620244;-0.23711811023622048
0.44;0.3020759493670886;-0.2738897637795275
0.45;0.34835443037974684;-0.26669291338582674
0.46;0.3924050632911391;-0.26053543307086613
0.47000000000000003;0.3924050632911391;-0.2749291338582677
0.48;0.3924050632911391;-0.2893228346456692
0.49;0.38577215189873415;-0.27896062992125986
0.5;0.3780590717299579;-0.2645669291338583
0.51;0.37552742616033763;-0.25984251968503935
0.52;0.37552742616033763;-0.25984251968503935
0.53;0.37739240506329125;-0.25984251968503935
0.54;0.3812489451476794;-0.25984251968503935
0.55;0.3805485232067509;-0.2619685039370079
0.56;0.3689789029535864;-0.26916535433070865
0.5700000000000001;0.3586497890295357;-0.2763622047244094
0.58;0.3586497890295357;-0.2835590551181101
0.59;0.3586497890295357;-0.29075590551181085
0.6;0.3657383966244725;-0.25165354330708684
0.61;0.373451476793249;-0.20847244094488193
0.62;0.3868016877637132;-0.1758110236220472
0.63;0.402227848101266;-0.147023622047244
0.64;0.41137552742616046;-0.16510236220472466
0.65;0.4152320675105486;-0.22267716535433102
0.66;0.41362025316455686;-0.23943307086614135
0.67;0.40205063291139226;-0.18185826771653502
0.68;0.39112236286919816;-0.12907086614173205
0.6900000000000001;0.38340928270042185;-0.10028346456692894
0.7000000000000001;0.3756962025316456;-0.07149606299212583
0.71;0.32648945147679365;-0.12718110236220448
0.72;0.27635443037974744;-0.18475590551181054
0.73;0.29019409282700415;-0.19116535433070875
0.74;0.32104641350210983;-0.1839685039370078
0.75;0.35654008438818585;-0.18976377952755902
0.76;0.3951054852320677;-0.2041574803149607
0.77;0.4177215189873418;-0.2066456692913386
0.78;0.4177215189873418;-0.192251968503937
0.79;0.41076793248945165;-0.18596850393700767
0.8;0.3799156118143459;-0.20755905511811024
0.81;0.3506413502109705;-0.2278110236220472
0.8200000000000001;0.3622109704641352;-0.21341732283464554
0.8300000000000001;0.37378059071729985;-0.19902362204724391
0.84;0.36570464135021097;-0.18462992125984248
0.85;0.35413502109704637;-0.17023622047244089
0.86;0.3604050632911392;-0.16535433070866135
0.87;0.3758312236286919;-0.16535433070866135
0.88;0.3821434599156118;-0.15855118110236213
0.89;0.37828691983122364;-0.14415748031496056
0.9;0.37552742616033763;-0.13385826771653542
0.91;0.37552742616033763;-0.13385826771653542
0.92;0.37664135021097056;-0.13385826771653542
0.93;0.3882109704641351;-0.13385826771653542
0.9400000000000001;0.39978059071729966;-0.13385826771653542
0.9500000000000001;0.3798312236286918;-0.12732283464566924
0.96;0.3566919831223629;-0.12012598425196855
0.97;0.3446582278481013;-0.11811023622047245
0.98;0.33694514767932504;-0.11811023622047245
0.99;0.3333333333333335;-0.14872440944881865
1.0;0.3333333333333335;-0.2062992125984247
1.01;0.34393248945147664;-0.23667716535433095
1.02;0.3747848101265822;-0.2150866141732285
1.03;0.3984472573839662;-0.195732283464567
1.04;0.38302109704641335;-0.18853543307086607
1.05;0.3675949367088605;-0.18133858267716516
1.06;0.36708860759493667;-0.18806299212598432
1.07;0.36708860759493667;-0.19525984251968515
1.08;0.35206751054852303;-0.1968503937007875
1.09;0.332784810126582;-0.1968503937007875
1.1;0.33628691983122394;-0.2011023622047246
1.11;0.35556962025316474;-0.20829921259842535
1.12;0.36087763713080157;-0.20390551181102354
1.1300000000000001;0.345451476793249;-0.1823149606299212
1.1400000000000001;0.33829535864978916;-0.16535433070866135
1.1500000000000001;0.3614345991561183;-0.16535433070866135
1.16;0.3838649789029536;-0.164976377952756
1.17;0.3800084388185655;-0.1505826771653545
1.18;0.37615189873417737;-0.13618897637795302
1.19;0.37552742616033763;-0.10370078740157532
1.2;0.37552742616033763;-0.06771653543307113
1.21;0.38054008438818565;-0.04576377952755903
1.22;0.38825316455696196;-0.0313700787401574
1.23;0.38528270042194074;-0.013653543307086524
1.24;0.36985654008438806;0.007937007874015703
1.25;0.361814345991561;0.007874015748031614
1.26;0.3733839662447257;-0.04970078740157502
1.27;0.3796877637130797;-0.1072755905511816
1.28;0.32955274261603357;-0.16485039370078766
1.29;0.27941772151898736;-0.2224251968503937
1.3;0.32962025316455723;-0.2541732283464568
1.31;0.39132489451476865;-0.2829606299212601
1.32;0.4120168776371309;-0.3270551181102366
1.33;0.41587341772151903;-0.3774330708661419
1.34;0.41972995780590716;-0.40532283464566926
1.35;0.42358649789029534;-0.4125196850393701
1.36;0.40563713080168684;-0.4149291338582676
1.37;0.34393248945147614;-0.4077322834645668
1.3800000000000001;0.2983797468354434;-0.39533858267716504
1.3900000000000001;0.34851476793249003;-0.35215748031496
1.4000000000000001;0.39864978902953674;-0.308976377952755
1.41;0.3750295358649789;-0.27955905511811013
1.42;0.34803375527426145;-0.2507716535433069
1.43;0.35658227848101265;-0.22751181102362214
1.44;0.37586497890295323;-0.20592125984252013
1.45;0.3750210970464138;-0.19267716535433088
1.46;0.3595949367088609;-0.18548031496062997
1.47;0.36229535864978873;-0.16700787401574824
1.48;0.3931476793248945;-0.13102362204724416
1.49;0.4177215189873418;-0.10675590551181115
1.5;0.4177215189873418;-0.12834645669291359
1.51;0.41795780590717324;-0.1502677165354337
1.52;0.4333839662447259;-0.19344881889763826
1.53;0.44881012658227865;-0.23662992125984283
1.54;0.44190717299578053;-0.2440944881889764
